circRNA,miRNA
hsa_circ_0001445,hsa-miR-17-3p
hsa_circ_0001445,hsa-miR-181b-5p
hsa_circ_0092509,hsa-miR-448
hsa_circ_0005986,hsa-miR-129-5p
hsa_circ_0056288,hsa-miR-125b-5p
hsa_circ_0000096,hsa-miR-195-5p
hsa_circ_0000096,hsa-miR-29a-3p
hsa_circ_0000096,hsa-miR-29c-3p
hsa_circ_0000615,hsa-miR-150-5p
hsa_circ_0041103,hsa-miR-103a-3p
hsa_circ_0041103,hsa-miR-107
hsa_circ_0088483,hsa-miR-370-3p
hsa_circ_0005015,hsa-miR-519d-3p
hsa_circ_0015756,hsa-miR-1250-3p
hsa_circ_0000177,hsa-miR-638
hsa_circ_0077232,hsa-miR-422a
hsa_circ_0006215,hsa-miR-378a-3p
hsa_circ_0000673,hsa-miR-767-3p
hsa_circ_0046701,hsa-miR-142-3p
hsa_circ_0001564,hsa-miR-29c-3p
hsa_circ_0067934,hsa-miR-1324
hsa_circ_0009910,hsa-miR-449a
hsa_circ_0072995,hsa-miR-30c-2-3p
hsa_circ_0002052,hsa-miR-1205
hsa_circ_0102722,hsa-miR-145-5p
hsa_circ_0008039,hsa-miR-432-5p
hsa_circ_0001649,hsa-miR-331-3p
hsa_circ_0001649,hsa-miR-338-5p
hsa_circ_0010090,hsa-miR-346
hsa_circ_0002623,hsa-miR-605-3p
hsa_circ_0000677,hsa-miR-411-5p
hsa_circ_0000677,hsa-miR-432-5p
hsa_circ_0103809,hsa-miR-490-5p
hsa_circ_0092340,hsa-miR-1253
hsa_circ_0007534,hsa-miR-761
hsa_circ_0000615,hsa-miR-615-5p
hsa_circ_0001346,hsa-miR-93-5p
hsa_circ_0000426,hsa-miR-204-3p
hsa_circ_0000284,hsa-miR-30a-3p
hsa_circ_0000284,hsa-miR-558
hsa_circ_0000707,hsa-miR-607
hsa_circ_0072088,hsa-miR-1261
hsa_circ_0000907,hsa-miR-4316
hsa_circ_0000799,hsa-miR-31-5p
hsa_circ_0080210,hsa-miR-328-5p
hsa_circ_0001946,hsa-miR-876-5p
hsa_circ_0001946,hsa-miR-671-5p
hsa_circ_0001946,hsa-miR-1299
hsa_circ_0001627,hsa-miR-139-5p
hsa_circ_0000567,hsa-miR-421
hsa_circ_0006220,hsa-miR-203a-3p
hsa_circ_0001681,hsa-miR-198
hsa_circ_0072309,hsa-miR-492
hsa_circ_0000190,hsa-miR-767-5p
hsa_circ_0000267,hsa-miR-646
hsa_circ_0004771,hsa-miR-149-5p
hsa_circ_0025033,hsa-miR-1231
hsa_circ_0067997,hsa-miR-515-5p
hsa_circ_0059655,hsa-miR-338-3p
hsa_circ_0001859,hsa-miR-200c-3p
hsa_circ_0011385,hsa-miR-361-3p
hsa_circ_0011385,hsa-miR-615-5p
hsa_circ_0067934,hsa-miR-3680-3p
hsa_circ_0089105,hsa-miR-4443
hsa_circ_0001313,hsa-miR-338-3p
hsa_circ_0058514,hsa-miR-195-5p
hsa_circ_0009910,hsa-miR-20a-5p
hsa_circ_0000263,hsa-miR-150-5p
hsa_circ_0099999,hsa-miR-335-5p
hsa_circ_0006528,hsa-miR-7-5p
hsa_circ_0055625,hsa-miR-106b-5p
hsa_circ_0017639,hsa-miR-182-5p
hsa_circ_0000615,hsa-miR-138-5p
hsa_circ_0006427,hsa-miR-6783-3p
hsa_circ_0006156,hsa-miR-1178-3p
hsa_circ_0007294,hsa-miR-148a-3p
hsa_circ_0007294,hsa-miR-152-3p
hsa_circ_0087378,hsa-miR-1260b
hsa_circ_0001721,hsa-miR-569
hsa_circ_0001721,hsa-miR-599
hsa_circ_0018665,hsa-miR-572
hsa_circ_0001846,hsa-miR-661
hsa_circ_0023858,hsa-miR-324-5p
hsa_circ_0008305,hsa-miR-429
hsa_circ_0008305,hsa-miR-200b-3p
hsa_circ_0052112,hsa-miR-125a-5p
hsa_circ_0072088,hsa-miR-532-3p
hsa_circ_0012919,hsa-miR-125a-3p
hsa_circ_0072391,hsa-miR-503-5p
hsa_circ_0087862,hsa-miR-593-3p
hsa_circ_0087862,hsa-miR-653-5p
hsa_circ_0008460,hsa-miR-199b-5p
hsa_circ_0033079,hsa-miR-103a-3p
hsa_circ_0033079,hsa-miR-382-5p
hsa_circ_0000284,hsa-miR-124-3p
hsa_circ_0001445,hsa-miR-620
hsa_circ_0060060,hsa-miR-144-3p
hsa_circ_0001946,hsa-miR-135a-5p
hsa_circ_0004015,hsa-miR-1183
hsa_circ_0001313,hsa-miR-488-3p
hsa_circ_0074362,hsa-miR-1236-3p
hsa_circ_0002320,hsa-miR-367-5p
hsa_circ_0001380,hsa-miR-1247-3p
hsa_circ_0003998,hsa-miR-326
hsa_circ_0025039,hsa-miR-198
hsa_circ_0000993,hsa-miR-214-5p
hsa_circ_0004458,hsa-miR-885-5p
hsa_circ_0001368,hsa-miR-6506-5p
hsa_circ_0033351,hsa-miR-140-5p
hsa_circ_0101432,hsa-miR-1258
hsa_circ_0101432,hsa-miR-622
hsa_circ_0030018,hsa-miR-1205
hsa_circ_0126991,hsa-miR-10a-5p
hsa_circ_0075828,hsa-miR-1224-5p
hsa_circ_0005198,hsa-miR-1294
hsa_circ_0046263,hsa-miR-133a-5p
hsa_circ_0068871,hsa-miR-181a-5p
hsa_circ_0059354,hsa-miR-302b-3p
hsa_circ_0002142,hsa-miR-625-5p
hsa_circ_0006117,hsa-miR-96-5p
hsa_circ_0025202,hsa-miR-182-5p
hsa_circ_0020123,hsa-miR-488-3p
hsa_circ_0007874,hsa-miR-17-5p
hsa_circ_0070934,hsa-miR-1247-5p
hsa_circ_0025033,hsa-miR-1304-5p
hsa_circ_0005230,hsa-miR-1299
