MeSH,MeSHID
Intervertebral Disc Degeneration,C05.116.900.153
Atherosclerosis,C14.907.137.126.307
Prostatic Neoplasms,C04.588.945.440.770
Prostatic Neoplasms,C12.294.260.750
Prostatic Neoplasms,C12.294.565.625
Prostatic Neoplasms,C12.758.409.750
Glioblastoma,C04.557.465.625.600.380.080.335
Glioblastoma,C04.557.470.670.380.080.335
Glioblastoma,C04.557.580.625.600.380.080.335
"Carcinoma, Hepatocellular",C04.557.470.200.025.255
"Carcinoma, Hepatocellular",C04.588.274.623.160
"Carcinoma, Hepatocellular",C06.301.623.160
"Carcinoma, Hepatocellular",C06.552.697.160
Breast Neoplasms,C04.588.180
Breast Neoplasms,C17.800.090.500
Liver Neoplasms,C04.588.274.623
Liver Neoplasms,C06.301.623
Liver Neoplasms,C06.552.697
Osteosarcoma,C04.557.450.565.575.650
Osteosarcoma,C04.557.450.795.620
Triple Negative Breast Neoplasms,C04.588.180.788
Triple Negative Breast Neoplasms,C17.800.090.500.788
Glioma,C04.557.465.625.600.380
Glioma,C04.557.470.670.380
Glioma,C04.557.580.625.600.380
Uterine Cervical Neoplasms,C04.588.945.418.948.850
Uterine Cervical Neoplasms,C13.351.500.852.593.131
Uterine Cervical Neoplasms,C13.351.500.852.762.850
Uterine Cervical Neoplasms,C13.351.937.418.875.850
Lung Neoplasms,C04.588.894.797.520
Lung Neoplasms,C08.381.540
Lung Neoplasms,C08.785.520
Urinary Bladder Neoplasms,C04.588.945.947.960
Urinary Bladder Neoplasms,C12.758.820.968
Urinary Bladder Neoplasms,C12.777.829.813
Urinary Bladder Neoplasms,C13.351.937.820.945
Urinary Bladder Neoplasms,C13.351.968.829.707
Liver Cirrhosis,C06.552.630
Multiple Sclerosis,C10.114.375.500
Multiple Sclerosis,C10.314.350.500
Multiple Sclerosis,C20.111.258.250.500
Stomach Neoplasms,C04.588.274.476.767
Stomach Neoplasms,C06.301.371.767
Stomach Neoplasms,C06.405.249.767
Stomach Neoplasms,C06.405.748.789
Squamous Cell Carcinoma of Head and Neck,C04.557.470.200.400.565
Squamous Cell Carcinoma of Head and Neck,C04.588.443.177
Colorectal Neoplasms,C04.588.274.476.411.307
Colorectal Neoplasms,C06.301.371.411.307
Colorectal Neoplasms,C06.405.249.411.307
Colorectal Neoplasms,C06.405.469.158.356
Colorectal Neoplasms,C06.405.469.491.307
Colorectal Neoplasms,C06.405.469.860.180
"Carcinoma, Renal Cell",C04.557.470.200.025.390
"Carcinoma, Renal Cell",C04.588.945.947.535.160
"Carcinoma, Renal Cell",C12.758.820.750.160
"Carcinoma, Renal Cell",C12.777.419.473.160
"Carcinoma, Renal Cell",C13.351.937.820.535.160
"Carcinoma, Renal Cell",C13.351.968.419.473.160
Aging,G07.345.124
"Leukemia, Myeloid, Acute",C04.557.337.539.275
"Thyroid Cancer, Papillary",C04.557.470.200.025.085.612
"Thyroid Cancer, Papillary",C04.588.322.894.400
"Thyroid Cancer, Papillary",C04.588.443.915.400
"Thyroid Cancer, Papillary",C19.344.894.400
"Thyroid Cancer, Papillary",C19.874.788.400
"Diabetes Mellitus, Type 2",C18.452.394.750.149
"Diabetes Mellitus, Type 2",C19.246.300
Hirschsprung Disease,C06.198.439
Hirschsprung Disease,C06.405.469.158.701.439
Hirschsprung Disease,C16.131.314.439
"Carcinoma, Pancreatic Ductal",C04.557.470.200.025.232.750
"Carcinoma, Pancreatic Ductal",C04.557.470.615.132.750
"Carcinoma, Pancreatic Ductal",C04.588.274.761.750
"Carcinoma, Pancreatic Ductal",C04.588.322.475.750
"Carcinoma, Pancreatic Ductal",C06.301.761.750
"Carcinoma, Pancreatic Ductal",C06.689.667.625
"Carcinoma, Pancreatic Ductal",C19.344.421.750
Esophageal Squamous Cell Carcinoma,C04.557.470.200.400.330
Esophageal Squamous Cell Carcinoma,C04.557.470.700.400.565
Esophageal Squamous Cell Carcinoma,C04.588.274.476.205.500
Esophageal Squamous Cell Carcinoma,C04.588.443.353.500
Esophageal Squamous Cell Carcinoma,C06.301.371.205.500
Esophageal Squamous Cell Carcinoma,C06.405.117.430.500
Esophageal Squamous Cell Carcinoma,C06.405.249.205.500
"Carcinoma, Squamous Cell",C04.557.470.200.400
"Carcinoma, Squamous Cell",C04.557.470.700.400
Pre-Eclampsia,C13.703.395.249
Esophageal Neoplasms,C04.588.274.476.205
Esophageal Neoplasms,C04.588.443.353
Esophageal Neoplasms,C06.301.371.205
Esophageal Neoplasms,C06.405.117.430
Esophageal Neoplasms,C06.405.249.205
Osteoarthritis,C05.550.114.606
Osteoarthritis,C05.799.613
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",C04.557.337.539.250
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",C15.378.190.636.370
Prostatic Hyperplasia,C12.294.565.500
Thyroid Neoplasms,C04.588.322.894
Thyroid Neoplasms,C04.588.443.915
Thyroid Neoplasms,C19.344.894
Thyroid Neoplasms,C19.874.788
Diabetic Retinopathy,C11.768.257
Diabetic Retinopathy,C14.907.320.382
Diabetic Retinopathy,C19.246.099.500.382
Tuberculosis,C01.252.410.040.552.846
Hepatoblastoma,C04.557.435.380
Endometriosis,C13.351.500.163
"Carcinoma, Non-Small-Cell Lung",C04.588.894.797.520.109.220.249
"Carcinoma, Non-Small-Cell Lung",C08.381.540.140.500
"Carcinoma, Non-Small-Cell Lung",C08.785.520.100.220.500
Pancreatic Neoplasms,C04.588.274.761
Pancreatic Neoplasms,C04.588.322.475
Pancreatic Neoplasms,C06.301.761
Pancreatic Neoplasms,C06.689.667
Pancreatic Neoplasms,C19.344.421
Cataract,C11.510.245
Varicose Veins,C14.907.927
Endometrial Neoplasms,C04.588.945.418.948.585
Endometrial Neoplasms,C13.351.500.852.762.200
Endometrial Neoplasms,C13.351.937.418.875.200
Cholangiocarcinoma,C04.557.470.200.025.450
"Arthritis, Rheumatoid",C05.550.114.154
"Arthritis, Rheumatoid",C05.799.114
"Arthritis, Rheumatoid",C17.300.775.099
"Arthritis, Rheumatoid",C20.111.199
Hemangioma,C04.557.645.375
Lupus Nephritis,C12.777.419.570.363.680
Lupus Nephritis,C13.351.968.419.570.363.680
Lupus Nephritis,C17.300.480.680
Lupus Nephritis,C20.111.590.560
Adenocarcinoma of Lung,C04.557.470.200.025.022
Adenocarcinoma of Lung,C04.588.894.797.520.055
Hypertension,C14.907.489
Coronary Artery Disease,C14.280.647.250.260
Coronary Artery Disease,C14.907.137.126.339
Coronary Artery Disease,C14.907.585.250.260
"Endothelium, Vascular",A07.015.700.500
"Endothelium, Vascular",A10.272.491.355
Acne Vulgaris,C17.800.030.150
Acne Vulgaris,C17.800.794.111
Gallbladder Neoplasms,C04.588.274.120.401
Gallbladder Neoplasms,C06.130.320.401
Gallbladder Neoplasms,C06.130.564.401
Gallbladder Neoplasms,C06.301.120.401
Diabetes Mellitus,C18.452.394.750
Diabetes Mellitus,C19.246
"Leukemia, Lymphocytic, Chronic, B-Cell",C04.557.337.428.080.125
"Leukemia, Lymphocytic, Chronic, B-Cell",C15.604.515.560.080.125
"Leukemia, Lymphocytic, Chronic, B-Cell",C20.683.515.528.080.125
Retinoblastoma,C04.557.465.625.600.725
Retinoblastoma,C04.557.470.670.725
Retinoblastoma,C04.557.580.625.600.725
Retinoblastoma,C04.588.364.818.760
Retinoblastoma,C11.270.862
Retinoblastoma,C11.319.475.760
Retinoblastoma,C11.768.717.760
Alzheimer Disease,C10.228.140.380.100
Alzheimer Disease,C10.574.945.249
Multiple Myeloma,C04.557.595.500
Multiple Myeloma,C14.907.454.460
Multiple Myeloma,C15.378.147.780.650
Multiple Myeloma,C15.378.463.515.460
Multiple Myeloma,C20.683.515.845
Multiple Myeloma,C20.683.780.650
Salivary Gland Neoplasms,C04.588.443.591.824
Salivary Gland Neoplasms,C07.465.530.824
Salivary Gland Neoplasms,C07.465.815.718
Colonic Neoplasms,C04.588.274.476.411.307.180
Colonic Neoplasms,C06.301.371.411.307.180
Colonic Neoplasms,C06.405.249.411.307.180
Colonic Neoplasms,C06.405.469.158.356.180
Colonic Neoplasms,C06.405.469.491.307.180
"Carcinoma, Mucoepidermoid",C04.557.470.200.025.340
"Carcinoma, Mucoepidermoid",C04.557.470.590.340
Nasopharyngeal Carcinoma,C04.557.470.200.623
Nasopharyngeal Carcinoma,C04.588.443.665.710.650.500
Nasopharyngeal Carcinoma,C07.550.350.650.500
Nasopharyngeal Carcinoma,C07.550.745.650.500
Nasopharyngeal Carcinoma,C09.647.710.650.500
Nasopharyngeal Carcinoma,C09.775.350.650.500
Nasopharyngeal Carcinoma,C09.775.549.650.500
Hypopharyngeal Neoplasms,C04.588.443.665.710.485
Hypopharyngeal Neoplasms,C07.550.745.436
Hypopharyngeal Neoplasms,C09.647.710.485
Hypopharyngeal Neoplasms,C09.775.549.485
Melanoma,C04.557.465.625.650.510
Melanoma,C04.557.580.625.650.510
Melanoma,C04.557.665.510
Ovarian Neoplasms,C04.588.322.455
Ovarian Neoplasms,C13.351.500.056.630.705
Ovarian Neoplasms,C13.351.937.418.685
Ovarian Neoplasms,C19.344.410
Ovarian Neoplasms,C19.391.630.705
Idiopathic Pulmonary Fibrosis,C08.381.483.487.500
Idiopathic Pulmonary Fibrosis,C08.381.765.500
"Lupus Erythematosus, Systemic",C17.300.480
"Lupus Erythematosus, Systemic",C20.111.590
Essential Hypertension,C14.907.489.165
"Hepatitis B, Chronic",C02.256.430.400.100
"Hepatitis B, Chronic",C02.440.435.100
"Hepatitis B, Chronic",C06.552.380.350.100
"Hepatitis B, Chronic",C06.552.380.705.437.100
Amyotrophic Lateral Sclerosis,C10.228.854.139
Amyotrophic Lateral Sclerosis,C10.574.562.250
Amyotrophic Lateral Sclerosis,C10.574.950.050
Amyotrophic Lateral Sclerosis,C10.668.467.250
Amyotrophic Lateral Sclerosis,C18.452.845.800.050
Laryngeal Neoplasms,C04.588.443.665.481
Laryngeal Neoplasms,C08.360.369
Laryngeal Neoplasms,C08.785.481
Laryngeal Neoplasms,C09.400.369
Laryngeal Neoplasms,C09.647.481
Neurons,A08.675
Neurons,A11.671
Osteoporosis,C05.116.198.579
Osteoporosis,C18.452.104.579
Hashimoto Disease,C19.874.871.102.500
Intracranial Aneurysm,C10.228.140.300.510.600
Intracranial Aneurysm,C14.907.055.635
Intracranial Aneurysm,C14.907.253.560.300
Inflammation,C23.550.470
"Carcinoma, Ovarian Epithelial",C04.557.470.200.295
"Carcinoma, Ovarian Epithelial",C04.588.322.455.199
"Carcinoma, Ovarian Epithelial",C13.351.500.056.630.705.350
"Carcinoma, Ovarian Epithelial",C13.351.937.418.685.350
"Carcinoma, Ovarian Epithelial",C19.344.410.199
"Carcinoma, Ovarian Epithelial",C19.391.630.705.350
Brain Ischemia,C10.228.140.300.150
Brain Ischemia,C14.907.253.092
Pressure Ulcer,C17.800.893.665
Myocardial Ischemia,C14.280.647
Myocardial Ischemia,C14.907.585
Liver Diseases,C06.552
Dengue,C02.081.270
Dengue,C02.782.350.250.214
Dengue,C02.782.417.214
Pneumonia,C08.381.677
Pneumonia,C08.730.610
Parkinson Disease,C10.228.140.079.862.500
Parkinson Disease,C10.228.662.600.400
Parkinson Disease,C10.574.812
Cellular Senescence,G04.043
Cellular Senescence,G07.345.124.130
Small Cell Lung Carcinoma,C04.588.894.797.520.109.220.624
Small Cell Lung Carcinoma,C08.381.540.140.750
Small Cell Lung Carcinoma,C08.785.520.100.220.750
