MeSH,MeSHID
Lymphoma,C04.557.386
Lymphoma,C15.604.515.569
Lymphoma,C20.683.515.761
Leukemia,C04.557.337
Breast Neoplasms,C04.588.180
Breast Neoplasms,C17.800.090.500
Kidney Neoplasms,C04.588.945.947.535
Kidney Neoplasms,C12.758.820.750
Kidney Neoplasms,C12.777.419.473
Kidney Neoplasms,C13.351.937.820.535
Kidney Neoplasms,C13.351.968.419.473
Prostatic Neoplasms,C04.588.945.440.770
Prostatic Neoplasms,C12.294.260.750
Prostatic Neoplasms,C12.294.565.625
Prostatic Neoplasms,C12.758.409.750
Colonic Neoplasms,C04.588.274.476.411.307.180
Colonic Neoplasms,C06.301.371.411.307.180
Colonic Neoplasms,C06.405.249.411.307.180
Colonic Neoplasms,C06.405.469.158.356.180
Colonic Neoplasms,C06.405.469.491.307.180
Lung Neoplasms,C04.588.894.797.520
Lung Neoplasms,C08.381.540
Lung Neoplasms,C08.785.520
Uterine Neoplasms,C04.588.945.418.948
Uterine Neoplasms,C13.351.500.852.762
Uterine Neoplasms,C13.351.937.418.875
Esophageal Neoplasms,C04.588.274.476.205
Esophageal Neoplasms,C04.588.443.353
Esophageal Neoplasms,C06.301.371.205
Esophageal Neoplasms,C06.405.117.430
Esophageal Neoplasms,C06.405.249.205
Retinoblastoma,C04.557.465.625.600.725
Retinoblastoma,C04.557.470.670.725
Retinoblastoma,C04.557.580.625.600.725
Retinoblastoma,C04.588.364.818.760
Retinoblastoma,C11.270.862
Retinoblastoma,C11.319.475.760
Retinoblastoma,C11.768.717.760
Colorectal Neoplasms,C04.588.274.476.411.307
Colorectal Neoplasms,C06.301.371.411.307
Colorectal Neoplasms,C06.405.249.411.307
Colorectal Neoplasms,C06.405.469.158.356
Colorectal Neoplasms,C06.405.469.491.307
Colorectal Neoplasms,C06.405.469.860.180
"Carcinoma, Hepatocellular",C04.557.470.200.025.255
"Carcinoma, Hepatocellular",C04.588.274.623.160
"Carcinoma, Hepatocellular",C06.301.623.160
"Carcinoma, Hepatocellular",C06.552.697.160
Head and Neck Neoplasms,C04.588.443
Brain Neoplasms,C04.588.614.250.195
Brain Neoplasms,C10.228.140.211
Brain Neoplasms,C10.551.240.250
Melanoma,C04.557.465.625.650.510
Melanoma,C04.557.580.625.650.510
Melanoma,C04.557.665.510
Sarcoma,C04.557.450.795
Stomach Neoplasms,C04.588.274.476.767
Stomach Neoplasms,C06.301.371.767
Stomach Neoplasms,C06.405.249.767
Stomach Neoplasms,C06.405.748.789
Pancreatic Neoplasms,C04.588.274.761
Pancreatic Neoplasms,C04.588.322.475
Pancreatic Neoplasms,C06.301.761
Pancreatic Neoplasms,C06.689.667
Pancreatic Neoplasms,C19.344.421
Adrenal Cortex Neoplasms,C04.588.322.078.265
Adrenal Cortex Neoplasms,C19.053.098.265
Adrenal Cortex Neoplasms,C19.053.347.500
Adrenal Cortex Neoplasms,C19.344.078.265
