miRNA Name,Disease Name,MeSH
hsa-miR-17-5p,lymphoma,Lymphoma
hsa-miR-150-5p,lymphoma,Lymphoma
hsa-miR-9-5p,lymphoma,Lymphoma
hsa-miR-20a-5p,lymphoma,Lymphoma
hsa-miR-376c-3p,lymphoma,Lymphoma
hsa-miR-25-3p,lymphoma,Lymphoma
hsa-miR-125b-5p,lymphoma,Lymphoma
hsa-miR-99a-5p,lymphoma,Lymphoma
hsa-miR-204-5p,lymphoma,Lymphoma
hsa-miR-223-3p,lymphoma,Lymphoma
hsa-miR-103a-3p,lymphoma,Lymphoma
hsa-miR-93-5p,lymphoma,Lymphoma
hsa-miR-16-5p,lymphoma,Lymphoma
hsa-miR-142-5p,lymphoma,Lymphoma
hsa-miR-205-5p,lymphoma,Lymphoma
hsa-miR-198,lymphoma,Lymphoma
hsa-miR-199a-5p,lymphoma,Lymphoma
hsa-miR-100-5p,lymphoma,Lymphoma
hsa-miR-107,lymphoma,Lymphoma
hsa-miR-138-5p,lymphoma,Lymphoma
hsa-miR-21-5p,lymphoma,Lymphoma
hsa-miR-30b-5p,lymphoma,Lymphoma
hsa-miR-199b-5p,lymphoma,Lymphoma
hsa-miR-142-3p,lymphoma,Lymphoma
hsa-miR-96-5p,lymphoma,Lymphoma
hsa-miR-98-5p,lymphoma,Lymphoma
hsa-miR-143-3p,lymphoma,Lymphoma
hsa-miR-155-5p,lymphoma,Lymphoma
hsa-miR-34a-5p,lymphoma,Lymphoma
hsa-miR-181b-5p,lymphoma,Lymphoma
hsa-miR-17-3p,lymphoma,Lymphoma
hsa-miR-339-5p,lymphoma,Lymphoma
hsa-miR-424-5p,lymphoma,Lymphoma
hsa-miR-106b-5p,lymphoma,Lymphoma
hsa-miR-134-5p,lymphoma,Lymphoma
hsa-miR-218-5p,lymphoma,Lymphoma
hsa-miR-29c-3p,lymphoma,Lymphoma
hsa-miR-101-3p,lymphoma,Lymphoma
hsa-miR-200a-3p,lymphoma,Lymphoma
hsa-miR-31-5p,lymphoma,Lymphoma
hsa-miR-367-3p,lymphoma,Lymphoma
hsa-miR-135b-5p,lymphoma,Lymphoma
hsa-miR-130a-3p,lymphoma,Lymphoma
hsa-miR-219a-5p,lymphoma,Lymphoma
